sector,particle,particle_symbol,m_bin,theory_E,theory_m_min,theory_m_max,E_max,E_mean,E_min,N_max,N_min,delta_i,abs_delta_i,counts,delta_i_percent,max_i4,max_i3,max_i2,max_i1,max_i0,max_i_minus_1,max_C,min_i4,min_i3,min_i2,min_i1,min_i0,min_i_minus_1,min_C
heavy,Eta`,$u\overline{u}+\overline{d}d+s\overline{s}$,337,1874.32,1874.21,1874.42,1874.42,1874.31,1874.21,547225,547541,-315,315,10985,2.86755,1.5,-2.0,0.5,-2.5,2.5,1.5,0.0,1.5,-2.0,0.5,-2.0,-1.5,0.5,0.5
heavy,Eta`,$u\overline{u}+\overline{d}d+s\overline{s}$,338,1874.32,1874.21,1874.42,1874.42,1874.32,1874.21,563756,564544,-787,787,10985,7.16431,1.5,-2.0,1.0,1.0,0.0,-3.0,0.5,1.5,-2.0,1.0,1.5,-0.5,-2.0,-0.5
heavy,Phi,$s\overline{s}(most)$,332,1995.035,1995.004,1995.066,1995.056,1995.032,1995.008,392499,392894,-394,394,65910,0.59778,1.0,2.0,-2.0,-3.0,2.0,-1.0,-0.5,1.0,2.0,-2.0,-2.5,-1.5,-0.5,-0.5
heavy,Phi,$s\overline{s}(most)$,333,1995.035,1995.004,1995.066,1995.056,1995.037,1995.019,408935,408186,750,750,10985,6.82749,1.0,2.0,-1.5,0.5,-1.5,-2.0,0.0,1.0,2.0,-1.5,0.0,-1.0,1.0,0.5
heavy,Phi,$s\overline{s}(most)$,334,1995.035,1995.004,1995.066,1995.065,1995.035,1995.005,424117,423801,317,317,10985,2.88575,1.0,2.0,-1.0,3.0,-2.0,1.5,1.0,1.0,2.0,-1.0,2.5,2.0,2.5,0.5
heavy,Phi,$s\overline{s}(most)$,335,1995.035,1995.004,1995.066,1995.064,1995.034,1995.004,374479,373477,1003,1003,10985,9.13063,1.0,1.5,1.5,-0.5,0.0,-2.5,-0.5,1.0,1.5,1.5,-1.0,-1.5,1.0,1.0
heavy,Phi,$s\overline{s}(most)$,336,1995.035,1995.004,1995.066,1995.065,1995.037,1995.008,389637,389647,-9,9,65910,0.01365,1.0,1.5,2.0,2.0,-0.5,-1.5,1.0,1.0,1.5,2.0,2.0,-0.5,-0.5,1.0
heavy,Phi,$s\overline{s}(most)$,340,1995.035,1995.004,1995.066,1995.065,1995.035,1995.004,698052,698674,-621,621,164775,0.37688,1.5,-1.0,-2.0,2.5,-0.5,-2.5,1.0,1.5,-1.0,-2.0,3.0,-2.5,1.5,-0.5
heavy,Phi,$s\overline{s}(most)$,341,1995.035,1995.004,1995.066,1995.064,1995.037,1995.01,646806,647082,-275,275,10985,2.50341,1.5,-1.5,0.5,-2.0,1.5,1.5,0.5,1.5,-1.5,0.5,-1.5,-3.0,3.0,1.0
heavy,Phi,$s\overline{s}(most)$,342,1995.035,1995.004,1995.066,1995.058,1995.031,1995.004,664239,664050,190,190,10985,1.72963,1.5,-1.5,1.0,2.0,-1.0,3.0,-0.5,1.5,-1.5,1.0,2.0,-2.0,-3.0,0.0
