sector,particle,particle_symbol,m_bin,theory_E,theory_m_min,theory_m_max,E_max,E_mean,E_min,N_max,N_min,delta_i,abs_delta_i,counts,delta_i_percent,max_i4,max_i3,max_i2,max_i1,max_i0,max_i_minus_1,max_C,min_i4,min_i3,min_i2,min_i1,min_i0,min_i_minus_1,min_C
broad,K* +-,"$d\overline{s},s\overline{d}$",328,1745.2,1745.1,1745.3,1745.2,1745.1,1745.1,1136335,1135157,1179,1179,65910,1.7888,1.0,0.5,2.0,3.0,-2.5,-2.0,0.0,1.0,0.5,2.0,2.0,1.5,-3.0,1.0
broad,K* 0,"$d\overline{s},s\overline{d}$",324,1752.6,1752.5,1752.6,1752.6,1752.6,1752.5,1137174,1137373,-198,198,65910,0.30041,1.0,1.0,-2.0,-3.0,-2.5,-2.5,-0.5,1.0,1.0,-2.0,-3.0,-1.0,-2.0,-1.0
broad,K* 0,"$d\overline{s},s\overline{d}$",325,1752.6,1752.5,1752.6,1752.6,1752.6,1752.5,1152415,1152303,113,113,10985,1.02868,1.0,1.0,-1.5,-0.5,-2.5,0.5,0.0,1.0,1.0,-1.5,-1.0,3.0,2.5,-1.0
broad,K* 0,"$d\overline{s},s\overline{d}$",326,1752.6,1752.5,1752.6,1752.6,1752.6,1752.5,1169359,1169254,106,106,10985,0.96495,1.0,1.0,-1.0,3.0,-2.0,-1.5,-0.5,1.0,1.0,-1.0,3.0,-3.0,1.0,-0.5
broad,K* 0,"$d\overline{s},s\overline{d}$",327,1752.6,1752.5,1752.6,1752.6,1752.6,1752.5,1117132,1117920,-787,787,10985,7.16431,1.0,0.5,1.5,-2.0,-1.0,1.5,1.0,1.0,0.5,1.5,-1.5,-1.5,2.5,0.0
broad,K* 0,"$d\overline{s},s\overline{d}$",328,1752.6,1752.5,1752.6,1752.6,1752.5,1752.5,1133911,1134759,-847,847,65910,1.28509,1.0,0.5,2.0,1.5,-2.0,2.5,0.5,1.0,0.5,2.0,2.0,-2.0,3.0,-0.5
broad,Proton,uud,330,1836.152673426,1836.152673394,1836.152673458,1836.152673408,1836.152673408,1836.152673408,1210337,1210337,1,1,10985,0.0091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
broad,H,H,329,1837.47,1837.18,1837.67,1837.66,1837.42,1837.18,1193962,1194171,-208,208,10985,1.89349,1.0,1.0,0.5,-2.0,-1.5,1.5,1.0,1.0,1.0,0.5,-2.0,0.0,3.0,0.5
broad,H,H,330,1837.47,1837.18,1837.67,1837.66,1837.42,1837.18,1211778,1210202,1577,1577,10985,14.35594,1.0,1.0,1.0,2.0,-1.0,2.5,-1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0
broad,Neutron,udd,330,1838.68366200,1838.68366126,1838.68366273,1838.68366244,1838.68366244,1838.68366244,1210335,1210335,1,1,10985,0.0091,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
broad,Eta`,$u\overline{u}+\overline{d}d+s\overline{s}$,331,1874.32,1874.21,1874.42,1874.42,1874.32,1874.21,1218378,1217525,854,854,10985,7.77424,1.0,1.0,1.5,-0.5,-2.0,-0.5,-1.0,1.0,1.0,1.5,-1.0,-2.0,-1.5,0.0
broad,Eta`,$u\overline{u}+\overline{d}d+s\overline{s}$,332,1874.32,1874.21,1874.42,1874.42,1874.31,1874.21,1233670,1232927,744,744,10985,6.77287,1.0,1.0,2.0,2.0,-1.5,1.0,0.0,1.0,1.0,2.0,1.5,-0.5,-2.0,1.0
