sector,particle_key,particle_name,symbol,theory_str,theory_E,sd_minus,sd_plus,m_bin,E_mean,E_min,E_max,i_T_min,i_T_max,delta_i,counts,delta_i_over_counts,min_i4,min_i3,min_i2,min_i1,min_i0,min_i_minus_1,min_C,max_i4,max_i3,max_i2,max_i1,max_i0,max_i_minus_1,max_C
heavy,rho_0,Rho 0,ρ0,1517.14(49),1517.14,-0.49,0.49,374,1517.1385653010739,1516.651357209082,1517.6257733930656,246611,247603,993,10982,0.09042068839919869,4,-3,2,6,4,6,0,4,-3,2,6,3,-2,0
heavy,omega,Omega,ω,1531.62(25),1531.62,-0.25,0.25,362,1531.6201272795638,1531.3709868079375,1531.8692677511904,39569,43080,3512,10002,0.35112977404519097,3,3,-2,-5,6,-1,1,3,3,-2,-5,5,-1,1
heavy,omega,Omega,ω,1531.62(25),1531.62,-0.25,0.25,363,1531.6196271636825,1531.3713356199473,1531.8679187074176,6922,58341,51420,18775,2.7387483355525966,3,2,3,-5,-2,-5,-1,3,3,-1,2,-5,-3,2
heavy,omega,Omega,ω,1531.62(25),1531.62,-0.25,0.25,364,1531.6201117946162,1531.3725545498976,1531.867669039335,20991,71728,50738,21968,2.3096321922796794,3,2,4,-2,4,-5,2,3,3,0,6,3,-4,2
heavy,omega,Omega,ω,1531.62(25),1531.62,-0.25,0.25,372,1531.6273807710406,1531.3849854938792,1531.869776048202,271916,275687,3772,25422,0.14837542286208796,4,-2,-4,0,-2,0,-2,4,-2,-4,-3,-2,5,2
heavy,omega,Omega,ω,1531.62(25),1531.62,-0.25,0.25,373,1531.618857656651,1531.370535586317,1531.8671797269853,226448,290967,64520,21359,3.0207406713797464,4,-3,1,-5,6,0,0,4,-3,1,-2,-5,0,-2
heavy,omega,Omega,ω,1531.62(25),1531.62,-0.25,0.25,374,1531.61735164369,1531.3738366474245,1531.8608666399555,242276,244517,2242,7896,0.28394123606889565,4,-3,2,2,3,1,-2,4,-3,2,1,-2,-4,2
heavy,omega,Omega,ω,1531.62(25),1531.62,-0.25,0.25,375,1531.6227294397665,1531.375895696525,1531.869563183008,257666,258494,829,10888,0.07613886847905951,4,-3,3,5,6,2,2,4,-3,3,6,2,-2,1
heavy,kstar_pm,K* +-,K*±,1745.2(1),1745.2,-0.1,0.1,383,1745.1991273948965,1745.1016346547449,1745.2966201350482,500716,503017,2302,13741,0.16752783640200858,4,0,-1,-4,2,1,-2,4,0,-1,-6,5,-3,1
heavy,kstar_pm,K* +-,K*±,1745.2(1),1745.2,-0.1,0.1,384,1745.2002660612015,1745.1018898701454,1745.2986422522577,456354,518877,62524,18616,3.3586162440911043,4,-1,4,-5,-6,6,-2,4,0,0,0,-1,0,2
heavy,kstar_pm,K* +-,K*±,1745.2(1),1745.2,-0.1,0.1,385,1745.2010424065124,1745.1041187894843,1745.2979660235405,532041,533207,1167,10976,0.10632288629737609,4,0,1,5,6,2,0,4,0,1,6,-3,-3,2
