particle,row_type,theory,E,total,i4,i3,i2,i1,i0,i_minus_1,C,cts,di_over_2pi_percent,note
,max,10.0,10.0,991915,0.5,-3.0,-0.5,1.0,-2.5,1.0,0.5,,,
,mean,9.14(-0.33)(0.94),9.44,-1321,,,,,,,,,,
,min,8.81,8.81,993237,0.5,-3.0,-0.5,1.5,1.5,-3.0,-1.0,,,
,delta,,,1321,,,,,,,,10985,12.02549,∆ abs(i)
,total,,,9687,,,,,,,,138252,7.00677,Σ ∆i
s,particle,,,,,,,,,,,,,
,max,199.6,189.2,211658,0.0,0.5,1.0,-3.0,-3.0,-3.0,-1.0,,,
,mean,182.8(-6.6)(16.8),182.7,-2345,,,,,,,,,,
,min,176.2,176.2,214004,0.0,0.5,1.0,-2.0,2.0,-2.5,-0.5,,,
,delta,,,2345,,,,,,,,10985,21.34729,∆ abs(i)
,max,199.6,199.5,224454,0.0,0.5,1.5,-2.0,-2.5,2.5,-0.5,,,
,mean,182.8(-6.6)(16.8),187.9,-5694,,,,,,,,,,
,min,176.2,176.2,230149,0.0,0.5,1.5,1.0,2.5,0.0,-0.5,,,
,delta,,,5694,,,,,,,,10985,51.83432,∆ abs(i)
,max,199.6,199.5,239227,0.0,0.5,2.0,0.0,1.0,-2.5,1.0,,,
,mean,182.8(-6.6)(16.8),187.9,-53410,,,,,,,,,,
,min,176.2,176.2,292638,0.0,1.0,-2.0,-1.0,2.0,2.5,-1.0,,,
,delta,,,53410,,,,,,,,10985,486.20847,∆ abs(i)
,max,199.6,199.5,302549,0.0,1.0,-1.5,-1.5,0.5,-1.0,-0.5,,,
,mean,182.8(-6.6)(16.8),187.9,-5582,,,,,,,,,,
,min,176.2,176.2,308132,0.0,1.0,-1.5,2.0,-2.0,-2.0,1.0,,,
,delta,,,5582,,,,,,,,10985,50.81475,∆ abs(i)
,max,199.6,199.5,318490,0.0,1.0,-1.0,1.5,-0.5,0.5,0.0,,,
,mean,182.8(-6.6)(16.8),191.5,-3016,,,,,,,,,,
,min,176.2,183.5,321507,0.0,1.0,-1.0,3.0,3.0,3.0,1.0,,,
