particle,row_type,theory,E,total,i4,i3,i2,i1,i0,i_minus_1,C,cts,di_over_2pi_percent,note
,delta,,,1,,,,,,,,10985,0.0091,∆ abs(i)
,total,,,1,,,,,,,,10985,0.0091,Σ ∆i
H,particle,,,,,,,,,,,,,
,max,1837.67,1837.66,302914,1.0,1.5,-2.0,2.5,2.0,-2.5,-0.5,,,
,mean,1837.47(-0.29)(0.20),1837.42,406,,,,,,,,,,
,min,1837.18,1837.18,302509,1.0,1.5,-2.0,2.5,-1.5,2.5,-0.5,,,
,delta,,,406,,,,,,,,65910,0.61599,∆ abs(i)
,max,1837.67,1837.66,250957,1.0,1.0,0.5,-2.0,-1.5,1.5,1.0,,,
,mean,1837.47(-0.29)(0.20),1837.42,-208,,,,,,,,,,
,min,1837.18,1837.18,251166,1.0,1.0,0.5,-2.0,0.0,3.0,0.5,,,
,delta,,,208,,,,,,,,10985,1.89349,∆ abs(i)
,max,1837.67,1837.66,268773,1.0,1.0,1.0,2.0,-1.0,2.5,-1.0,,,
,mean,1837.47(-0.29)(0.20),1837.42,1577,,,,,,,,,,
,min,1837.18,1837.18,267197,1.0,1.0,1.0,1.0,0.0,0.5,1.0,,,
,delta,,,1577,,,,,,,,10985,14.35594,∆ abs(i)
,max,1837.67,1837.66,524642,1.5,-2.0,-0.5,-2.5,-2.0,-1.5,1.0,,,
,mean,1837.47(-0.29)(0.20),1837.42,-586,,,,,,,,,,
,min,1837.18,1837.18,525229,1.5,-2.0,-0.5,-2.5,2.5,-1.0,-0.5,,,
,delta,,,586,,,,,,,,10985,5.33455,∆ abs(i)
,max,1837.67,1837.66,541299,1.5,-2.0,0.0,0.5,2.5,0.5,-0.5,,,
,mean,1837.47(-0.29)(0.20),1837.42,-718,,,,,,,,,,
,min,1837.18,1837.18,542018,1.5,-2.0,0.0,1.0,1.5,1.0,-1.0,,,
,delta,,,718,,,,,,,,65910,1.08936,∆ abs(i)
,max,1837.67,1837.66,556497,1.5,-2.0,0.5,3.0,2.5,-1.0,1.0,,,
,mean,1837.47(-0.29)(0.20),1837.43,-34,,,,,,,,,,
,min,1837.18,1837.2,556532,1.5,-2.0,0.5,3.0,2.5,2.5,1.0,,,
,delta,,,34,,,,,,,,10985,0.30951,∆ abs(i)
,total,,,3529,,,,,,,,175760,2.00785,Σ ∆i
Neutron,particle,,,,,,,,,,,,,
,max,1838.68366273,1838.68366244,267330,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,
,mean,1838.68366200(74),1838.68366244,1,,,,,,,,,,
,min,1838.68366126,1838.68366244,267330,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,
,delta,,,1,,,,,,,,10985,0.0091,∆ abs(i)
,total,,,1,,,,,,,,10985,0.0091,Σ ∆i
Eta`,particle,,,,,,,,,,,,,
,max,1874.42,1874.42,293004,1.0,1.5,-2.0,-3.0,-3.0,1.0,-0.5,,,
,mean,1874.32(11),1874.32,-119,,,,,,,,,,
,min,1874.21,1874.22,293124,1.0,1.5,-2.0,-3.0,-2.0,0.0,-0.5,,,
,delta,,,119,,,,,,,,65910,0.18055,∆ abs(i)
,max,1874.42,1874.42,308011,1.0,1.5,-1.5,-1.0,2.0,0.0,0.5,,,
,mean,1874.32(11),1874.31,-926,,,,,,,,,,
,min,1874.21,1874.21,308938,1.0,1.5,-1.5,-0.5,2.5,2.0,-1.0,,,
,delta,,,926,,,,,,,,10985,8.42968,∆ abs(i)
,max,1874.42,1874.42,324591,1.0,1.5,-1.0,2.5,-0.5,0.5,0.5,,,
,mean,1874.32(11),1874.32,51,,,,,,,,,,
,min,1874.21,1874.21,324541,1.0,1.5,-1.0,2.5,-1.0,2.0,0.5,,,
,delta,,,51,,,,,,,,10985,0.46427,∆ abs(i)
,max,1874.42,1874.42,275373,1.0,1.0,1.5,-0.5,-2.0,-0.5,-1.0,,,
,mean,1874.32(11),1874.32,854,,,,,,,,,,
,min,1874.21,1874.21,274520,1.0,1.0,1.5,-1.0,-2.0,-1.5,0.0,,,
,delta,,,854,,,,,,,,10985,7.77424,∆ abs(i)
,max,1874.42,1874.42,290665,1.0,1.0,2.0,2.0,-1.5,1.0,0.0,,,
,mean,1874.32(11),1874.31,744,,,,,,,,,,
,min,1874.21,1874.21,289922,1.0,1.0,2.0,1.5,-0.5,-2.0,1.0,,,
,delta,,,744,,,,,,,,65910,1.12881,∆ abs(i)
,max,1874.42,1874.42,599019,1.5,-1.5,-2.0,2.5,-2.0,0.5,-0.5,,,
,mean,1874.32(11),1874.31,1864,,,,,,,,,,
,min,1874.21,1874.21,597156,1.5,-1.5,-2.0,1.0,3.0,2.5,0.5,,,
,delta,,,1864,,,,,,,,65910,2.8281,∆ abs(i)
,max,1874.42,1874.42,547225,1.5,-2.0,0.5,-2.5,2.5,1.5,0.0,,,
,mean,1874.32(11),1874.31,-315,,,,,,,,,,
,min,1874.21,1874.21,547541,1.5,-2.0,0.5,-2.0,-1.5,0.5,0.5,,,
,delta,,,315,,,,,,,,10985,2.86755,∆ abs(i)
,max,1874.42,1874.42,563756,1.5,-2.0,1.0,1.0,0.0,-3.0,0.5,,,
,mean,1874.32(11),1874.32,-787,,,,,,,,,,
,min,1874.21,1874.21,564544,1.5,-2.0,1.0,1.5,-0.5,-2.0,-0.5,,,
,delta,,,787,,,,,,,,10985,7.16431,∆ abs(i)
,total,,,5660,,,,,,,,252655,2.24021,Σ ∆i
Phi,particle,,,,,,,,,,,,,
,max,1995.066,1995.056,392499,1.0,2.0,-2.0,-3.0,2.0,-1.0,-0.5,,,
,mean,1995.035(31),1995.032,-394,,,,,,,,,,
,min,1995.004,1995.008,392894,1.0,2.0,-2.0,-2.5,-1.5,-0.5,-0.5,,,
,delta,,,394,,,,,,,,65910,0.59778,∆ abs(i)
,max,1995.066,1995.056,408935,1.0,2.0,-1.5,0.5,-1.5,-2.0,0.0,,,
,mean,1995.035(31),1995.037,750,,,,,,,,,,
,min,1995.004,1995.019,408186,1.0,2.0,-1.5,0.0,-1.0,1.0,0.5,,,
,delta,,,750,,,,,,,,10985,6.82749,∆ abs(i)
,max,1995.066,1995.065,424117,1.0,2.0,-1.0,3.0,-2.0,1.5,1.0,,,
,mean,1995.035(31),1995.035,317,,,,,,,,,,
,min,1995.004,1995.005,423801,1.0,2.0,-1.0,2.5,2.0,2.5,0.5,,,
,delta,,,317,,,,,,,,10985,2.88575,∆ abs(i)
,max,1995.066,1995.064,374479,1.0,1.5,1.5,-0.5,0.0,-2.5,-0.5,,,
,mean,1995.035(31),1995.034,1003,,,,,,,,,,
,min,1995.004,1995.004,373477,1.0,1.5,1.5,-1.0,-1.5,1.0,1.0,,,
,delta,,,1003,,,,,,,,10985,9.13063,∆ abs(i)
,max,1995.066,1995.065,389637,1.0,1.5,2.0,2.0,-0.5,-1.5,1.0,,,
,mean,1995.035(31),1995.037,-9,,,,,,,,,,
,min,1995.004,1995.008,389647,1.0,1.5,2.0,2.0,-0.5,-0.5,1.0,,,
,delta,,,9,,,,,,,,65910,0.01365,∆ abs(i)
,max,1995.066,1995.065,698052,1.5,-1.0,-2.0,2.5,-0.5,-2.5,1.0,,,
,mean,1995.035(31),1995.035,-621,,,,,,,,,,
,min,1995.004,1995.004,698674,1.5,-1.0,-2.0,3.0,-2.5,1.5,-0.5,,,
,delta,,,621,,,,,,,,164775,0.37688,∆ abs(i)
,max,1995.066,1995.064,646806,1.5,-1.5,0.5,-2.0,1.5,1.5,0.5,,,
,mean,1995.035(31),1995.037,-275,,,,,,,,,,
,min,1995.004,1995.01,647082,1.5,-1.5,0.5,-1.5,-3.0,3.0,1.0,,,
,delta,,,275,,,,,,,,10985,2.50341,∆ abs(i)
,max,1995.066,1995.058,664239,1.5,-1.5,1.0,2.0,-1.0,3.0,-0.5,,,
,mean,1995.035(31),1995.031,190,,,,,,,,,,
,min,1995.004,1995.004,664050,1.5,-1.5,1.0,2.0,-2.0,-3.0,0.0,,,
,delta,,,190,,,,,,,,10985,1.72963,∆ abs(i)
,total,,,3559,,,,,,,,351520,1.01246,Σ ∆i
c,particle,,,,,,,,,,,,,
,max,2524.0,2449.0,1006988,1.5,0.5,-1.0,-3.0,-3.0,-3.0,-1.0,,,
,mean,2485(-39)(39),2447.0,-334,,,,,,,,,,
,min,2446.0,2446.0,1007323,1.5,0.5,-1.0,-3.0,-0.5,-2.0,-1.0,,,
,delta,,,334,,,,,,,,10985,3.04051,∆ abs(i)
,max,2524.0,2468.0,1017973,1.5,0.5,-0.5,-3.0,-3.0,-3.0,-1.0,,,
,mean,2485(-39)(39),2457.0,-4337,,,,,,,,,,
,min,2446.0,2446.0,1022311,1.5,0.5,-0.5,-0.5,-2.5,1.5,0.5,,,
,delta,,,4337,,,,,,,,10985,39.48111,∆ abs(i)
,max,2524.0,2523.0,1084371,1.5,1.0,-2.0,-3.0,0.5,0.0,0.5,,,
,mean,2485(-39)(39),2484.0,44794,,,,,,,,,,
,min,2446.0,2446.0,1039578,1.5,0.5,0.0,3.0,0.5,-0.5,-1.0,,,
,delta,,,44794,,,,,,,,65910,67.96237,∆ abs(i)
,max,2524.0,2523.0,1100695,1.5,1.0,-1.5,0.0,2.5,1.0,0.0,,,
,mean,2485(-39)(39),2490.0,49769,,,,,,,,,,
,min,2446.0,2456.0,1050927,1.5,0.5,0.5,3.0,3.0,3.0,1.0,,,
,delta,,,49769,,,,,,,,10985,453.06327,∆ abs(i)
,max,2524.0,2523.0,1051293,1.5,0.5,1.0,-3.0,-0.5,1.0,-1.0,,,
,mean,2485(-39)(39),2500.0,-10618,,,,,,,,,,
,min,2446.0,2476.0,1061912,1.5,0.5,1.0,3.0,3.0,3.0,1.0,,,
,delta,,,10618,,,,,,,,10985,96.65908,∆ abs(i)
,max,2524.0,2523.0,1065986,1.5,0.5,1.5,-1.0,2.0,1.0,0.5,,,
,mean,2485(-39)(39),2510.0,-6910,,,,,,,,,,
,min,2446.0,2496.0,1072897,1.5,0.5,1.5,3.0,3.0,3.0,1.0,,,
,delta,,,6910,,,,,,,,10985,62.90396,∆ abs(i)
,max,2524.0,2523.0,1082156,1.5,0.5,2.0,2.0,3.0,-0.5,0.5,,,
,mean,2485(-39)(39),2520.0,-1725,,,,,,,,,,
,min,2446.0,2516.0,1083882,1.5,0.5,2.0,3.0,3.0,3.0,1.0,,,
,delta,,,1725,,,,,,,,65910,2.61721,∆ abs(i)
,max,2524.0,2523.0,1389682,2.0,-2.0,-2.0,2.0,2.5,0.5,1.0,,,
,mean,2485(-39)(39),2519.0,-1779,,,,,,,,,,
,min,2446.0,2515.0,1391462,2.0,-2.0,-2.0,3.0,3.0,3.0,1.0,,,
,delta,,,1779,,,,,,,,65910,2.69914,∆ abs(i)
,total,,,120266,,,,,,,,252655,47.60088,Σ ∆i
Tau,particle,,,,,,,,,,,,,
,max,3477.46,3477.45,2108362,2.0,1.5,-0.5,-1.5,-0.5,-2.0,1.0,,,
,mean,3477.23(23),3477.22,-1640,,,,,,,,,,
,min,3477.0,3477.0,2110003,2.0,1.5,-0.5,-0.5,-1.0,0.0,-1.0,,,
,delta,,,1640,,,,,,,,10985,14.92945,∆ abs(i)
,max,3477.46,3477.45,2124932,2.0,1.5,0.0,2.0,-3.0,-2.5,1.0,,,
,mean,3477.23(23),3477.22,93,,,,,,,,,,
,min,3477.0,3477.0,2124840,2.0,1.5,0.0,1.5,2.5,1.5,0.0,,,
,delta,,,93,,,,,,,,65910,0.1411,∆ abs(i)
,total,,,1733,,,,,,,,76895,2.25372,Σ ∆i
D 0,particle,,,,,,,,,,,,,
,max,3649.48,3649.47,2228154,2.0,2.0,0.5,-2.0,-2.0,-2.0,-0.5,,,
,mean,3649.38(10),3649.37,192,,,,,,,,,,
,min,3649.28,3649.28,2227963,2.0,2.0,0.5,-2.5,3.0,-1.5,-1.0,,,
,delta,,,192,,,,,,,,10985,1.74784,∆ abs(i)
,max,3649.48,3649.47,2243864,2.0,2.0,1.0,0.5,1.5,2.5,-0.5,,,
,mean,3649.38(10),3649.37,-1133,,,,,,,,,,
,min,3649.28,3649.28,2244998,2.0,2.0,1.0,1.5,-2.5,-1.0,-1.0,,,
,delta,,,1133,,,,,,,,10985,10.31406,∆ abs(i)
,max,3649.48,3649.46,2259226,2.0,2.0,1.5,3.0,3.0,-2.0,0.5,,,
,mean,3649.38(10),3649.37,145,,,,,,,,,,
,min,3649.28,3649.28,2259082,2.0,2.0,1.5,3.0,1.5,3.0,1.0,,,
,delta,,,145,,,,,,,,10985,1.31998,∆ abs(i)
,total,,,1470,,,,,,,,32955,4.46063,Σ ∆i
D +,particle,,,,,,,,,,,,,
,max,3658.91,3658.9,2242003,2.0,2.0,1.0,-0.5,0.5,-1.5,-1.0,,,
,mean,3658.81(10),3658.81,854,,,,,,,,,,
,min,3658.71,3658.72,2241150,2.0,2.0,1.0,-1.0,0.5,-2.5,0.0,,,
,delta,,,854,,,,,,,,10985,7.77424,∆ abs(i)
,max,3658.91,3658.9,2257121,2.0,2.0,1.5,2.0,-0.5,2.0,0.5,,,
,mean,3658.81(10),3658.81,-34,,,,,,,,,,
,min,3658.71,3658.72,2257156,2.0,2.0,1.5,2.0,0.0,-1.0,0.5,,,
,delta,,,34,,,,,,,,10985,0.30951,∆ abs(i)
,total,,,888,,,,,,,,21970,4.04188,Σ ∆i
Deuteron,mean,3670.4829677(11),,,,,,,,,,,,only with i4 > 1
DS +,mean,3851.94(13),,,,,,,,,,,,only with i4 > 1
Higgs,mean,244830(210),,,,,,,,,,,,only with i4 > 1
