particle,row_type,theory,E,E_m,total,i4,i3,i2,i1,i0,i_minus_1,C,cts,di_over_2pi_percent,note,Polynom
,mean,182.8(-6.6)(16.8),187.9,,-9470,,,,,,,,,,,
,min,176.2,176.2,,152538,0.0,1.0,-2.0,-1.0,2.0,2.5,-1.0,,,,0.0 (2π)^4 + 1.0(2π)^3 + -2.0(2π)^2  -(-1.0 (2π)^1 + 2.0(2π)^0 + 2.5(2π)^-1)  + -4.0*2(2π)^(-3)  - -1.0*2(2π)^(-2)  + 1.0*2(2π)^(-8)  + 4.0*2(2π)^(-8)  + 1.0 (π + π^-1 - π^-3 + 2π^-5 - π^-7 + π^-9 - π^-12 - 2π^-14) 
,delta,,,,9470,,,,,,,,1,947000.0,∆ abs(i),
,max,199.6,199.5,,162449,0.0,1.0,-1.5,-1.5,0.5,-1.0,-0.5,,,,0.0 (2π)^4 + 1.0(2π)^3 + -1.5(2π)^2  -(-1.5 (2π)^1 + 0.5(2π)^0 + -1.0(2π)^-1)  + -0.75*2(2π)^(-3)  - -1.5*2(2π)^(-2)  + 1.5*2(2π)^(-8)  + 0.75*2(2π)^(-8)  + 0.5 (π + π^-1 - π^-3 + 2π^-5 - π^-7 + π^-9 - π^-12 - 2π^-14) 
,mean,182.8(-6.6)(16.8),187.9,,-5582,,,,,,,,,,,
,min,176.2,176.2,,168032,0.0,1.0,-1.5,2.0,-2.0,-2.0,1.0,,,,0.0 (2π)^4 + 1.0(2π)^3 + -1.5(2π)^2  -(2.0 (2π)^1 + -2.0(2π)^0 + -2.0(2π)^-1)  + 3.0*2(2π)^(-3)  - 2.0*2(2π)^(-2)  + 2.0*2(2π)^(-8)  + 3.0*2(2π)^(-8)  + 1.0 (- π + 2π^-1 - π^-3 + 2π^-5 - π^-7 + π^-9 - π^-12 - 2π^-14) 
,delta,,,,5582,,,,,,,,1,558200.0,∆ abs(i),
,max,199.6,199.5,,178390,0.0,1.0,-1.0,1.5,-0.5,0.5,0.0,,,,0.0 (2π)^4 + 1.0(2π)^3 + -1.0(2π)^2  -(1.5 (2π)^1 + -0.5(2π)^0 + 0.5(2π)^-1)  + 0.5*2(2π)^(-3)  - 1.5*2(2π)^(-2)  + 1.5*2(2π)^(-8)  + 0.5*2(2π)^(-8)  +  (+ π^-12 + 2π^-14)
,mean,182.8(-6.6)(16.8),191.5,,-3016,,,,,,,,,,,
,min,176.2,183.5,,181407,0.0,1.0,-1.0,3.0,3.0,3.0,1.0,,,,0.0 (2π)^4 + 1.0(2π)^3 + -1.0(2π)^2  -(3.0 (2π)^1 + 3.0(2π)^0 + 3.0(2π)^-1)  + -3.0*2(2π)^(-3)  - 3.0*2(2π)^(-2)  + 3.0*2(2π)^(-8)  + 3.0*2(2π)^(-8)  + 1.0 (- π + 2π^-1 - π^-3 + 2π^-5 - π^-7 + π^-9 - π^-12 - 2π^-14) 
