sector,particle_key,particle_name,symbol,theory_str,theory_E,sd_minus,sd_plus,m_bin,E_mean,E_min,E_max,i_T_min,i_T_max,delta_i,counts,delta_i_over_counts,min_i4,min_i3,min_i2,min_i1,min_i0,min_i_minus_1,min_C,max_i4,max_i3,max_i2,max_i1,max_i0,max_i_minus_1,max_C
heavy,eta_prime,Eta`,η′,1874.32(11),1874.32,-0.11,0.11,338,1874.3218510151257,1874.2155551243827,1874.4281469058687,562887,564988,2102,19541,0.10756870170410932,3,-4,2,3,-5,-3,0,3,-4,2,3,-3,6,-1
heavy,phi,Phi,φ,1995.035(31),1995.035,-0.031,0.031,332,1995.0351292658593,1995.0048166838299,1995.065441847889,391747,393488,1742,23801,0.07319020209234905,2,4,-4,-6,-2,5,-1,2,4,-4,-5,3,-5,-2
heavy,phi,Phi,φ,1995.035(31),1995.035,-0.031,0.031,333,1995.0329982388612,1995.0054922173672,1995.060504260355,406737,409498,2762,17841,0.15481195000280254,2,4,-3,1,-1,3,-2,2,4,-3,1,-2,-1,-1
heavy,phi,Phi,φ,1995.035(31),1995.035,-0.031,0.031,334,1995.0357105631758,1995.0065559151356,1995.064865211216,358738,424574,65837,21932,3.001869414554076,2,4,-2,5,3,6,1,2,4,-2,6,4,3,-1
heavy,phi,Phi,φ,1995.035(31),1995.035,-0.031,0.031,335,1995.0351862264995,1995.008463826121,1995.061908626878,372832,374963,2132,5276,0.4040940106141016,2,3,3,-1,-5,5,0,2,3,3,-1,-1,-3,-1
heavy,phi,Phi,φ,1995.035(31),1995.035,-0.031,0.031,336,1995.0357198356833,1995.0068037793208,1995.0646358920455,388997,391083,2087,10411,0.20046105081164153,2,3,4,6,-6,6,-1,2,3,4,6,-6,4,-1
heavy,phi,Phi,φ,1995.035(31),1995.035,-0.031,0.031,340,1995.037753887195,1995.0113714412478,1995.0641363331424,697157,698873,1717,43576,0.03940242335230402,3,-2,-4,5,-6,4,1,3,-2,-4,5,1,-5,1
heavy,phi,Phi,φ,1995.035(31),1995.035,-0.031,0.031,341,1995.0353670373343,1995.0053171858617,1995.0654168888066,645997,648568,2572,4256,0.6043233082706767,3,-3,1,-3,-4,6,1,3,-3,1,-3,3,0,-1
heavy,phi,Phi,φ,1995.035(31),1995.035,-0.031,0.031,342,1995.0385110749203,1995.012967120068,1995.0640550297728,662622,664723,2102,9426,0.22300021217907914,3,-3,2,3,-2,5,1,3,-3,2,2,4,6,1
heavy,c,c,c,2485(-39)(39),2485.0,-39.0,39.0,354,2447.4515421755696,2446.082977277672,2448.820107073467,1006818,1007148,331,11316,0.029250618593142454,3,1,-2,-6,-1,-5,-2,3,1,-2,-6,-6,-6,-2
heavy,c,c,c,2485(-39)(39),2485.0,-39.0,39.0,355,2457.041199535971,2446.0005492606156,2468.0818498113263,1017803,1023718,5916,16901,0.3500384592627655,3,1,-1,-1,3,-5,-1,3,1,-1,-6,-6,-6,-2
heavy,c,c,c,2485(-39)(39),2485.0,-39.0,39.0,356,2485.0039055852576,2446.0101064067685,2523.9977047637467,1028788,1094697,65910,32955,2.0,3,1,0,6,-3,2,-1,3,2,-4,-3,-5,-5,-2
heavy,c,c,c,2485(-39)(39),2485.0,-39.0,39.0,357,2490.2710553785855,2456.543433749446,2523.9986770077244,1039773,1105682,65910,21970,3.0,3,1,1,6,6,6,2,3,2,-3,-1,6,4,1
heavy,c,c,c,2485(-39)(39),2485.0,-39.0,39.0,358,2500.177632518503,2476.3586346743996,2523.9966303626056,1050760,1116667,65908,21970,2.999908966772872,3,1,2,6,6,6,2,3,2,-2,6,5,-2,1
heavy,c,c,c,2485(-39)(39),2485.0,-39.0,39.0,359,2510.0845593416943,2496.173835599354,2523.9952830840352,1065622,1072727,7106,10985,0.6468821119708694,3,1,3,6,6,6,2,3,1,3,-1,3,4,-1
heavy,c,c,c,2485(-39)(39),2485.0,-39.0,39.0,360,2519.9920036809713,2515.989036524308,2523.9949708376344,1081792,1083712,1921,10985,0.17487482931269913,3,1,4,6,6,6,2,3,1,4,6,-1,-3,-1
heavy,c,c,c,2485(-39)(39),2485.0,-39.0,39.0,364,2519.471207001793,2514.958391914155,2523.984022089431,1389277,1391292,2016,43940,0.04588074647246245,4,-4,-4,6,6,6,2,4,-4,-4,6,-6,5,0
heavy,tau,Tau,τ,3477.23(23),3477.23,-0.23,0.23,395,3477.232299940039,3477.00526094121,3477.459338938868,2107587,2109873,2287,15541,0.14715912746927481,4,3,-1,-4,6,-5,2,4,3,-1,-1,-3,0,-2
heavy,tau,Tau,τ,3477.23(23),3477.23,-0.23,0.23,396,3477.2299355032465,3477.0008201270207,3477.4590508794727,2123837,2126453,2617,21136,0.12381718395155185,4,3,0,5,0,-5,-2,4,3,0,3,1,6,1
